job_id,role,company,company_type,city,state,degree,graduation_year,skills,primary_skill,experience_required,internship_experience,remote,work_type,salary_lpa,stipend_if_intern,selection_rounds,aptitude_test,coding_test,interview_count,offer_made
JOB_62,Software Engineer,Startup,MNC,Noida,Uttar Pradesh,M.Tech,2025,"Python, AWS, Linux",AWS,0,1,0,Internship,4.36,12000,5,1,1,2,0
JOB_63,AI/ML Engineer,Wipro,Startup,Hyderabad,Maharashtra,B.Tech,2025,"Power BI, Machine Learning, Linux",Machine Learning,1,1,1,Internship,10.97,0,5,0,1,3,0
JOB_64,AI/ML Engineer,TCS,Startup,Mumbai,West Bengal,B.Sc,2024,"Java, Power BI, Python",AWS,0,1,0,Internship,8.14,0,5,1,1,2,1
JOB_65,Business Analyst,Deloitte,MNC,Delhi,Delhi,M.Tech,2024,"AWS, Python, Excel",Power BI,0,1,0,Full-Time,4.4,15000,2,1,0,1,1
JOB_66,Data Analyst,Capgemini,Startup,Bangalore,Tamil Nadu,M.Tech,2025,"SQL, Machine Learning, Java",SQL,0,1,0,Full-Time,5.71,15000,5,1,0,3,0
JOB_67,Software Engineer,Deloitte,Service-Based,Kolkata,Maharashtra,B.Tech,2023,"Linux, Machine Learning, Python",Java,0,1,0,Internship,3.7,10000,4,1,1,2,0
JOB_68,Cybersecurity Analyst,Deloitte,Startup,Noida,West Bengal,B.Com,2024,"Excel, Power BI, Python",Linux,0,0,0,Full-Time,9.01,8000,4,0,1,3,0
JOB_69,AI/ML Engineer,Wipro,Product-Based,Chennai,Maharashtra,M.Tech,2023,"SQL, Java, Linux",Power BI,0,0,1,Internship,6.45,12000,5,0,1,2,0
JOB_70,Web Developer,Capgemini,Startup,Hyderabad,Tamil Nadu,B.Tech,2025,"Power BI, AWS, SQL",Linux,1,1,0,Full-Time,7.93,12000,4,0,0,1,1
JOB_71,Business Analyst,Capgemini,Service-Based,Kolkata,Karnataka,MCA,2025,"Excel, Java, AWS",Java,0,0,0,Internship,6.86,10000,3,1,1,2,1
JOB_72,AI/ML Engineer,Deloitte,Service-Based,Chennai,Tamil Nadu,BCA,2025,"Excel, Linux, Java",Machine Learning,0,0,0,Internship,7.19,0,3,1,1,1,0
JOB_73,AI/ML Engineer,TCS,Product-Based,Noida,Maharashtra,B.Tech,2023,"Power BI, SQL, Java",Machine Learning,0,1,1,Full-Time,6.03,15000,4,1,1,2,0
JOB_74,Web Developer,Capgemini,Product-Based,Chennai,Telangana,M.Tech,2025,"Java, Excel, Python",SQL,1,0,1,Internship,7.08,0,4,1,1,1,0
JOB_75,Data Analyst,TCS,Service-Based,Pune,Telangana,MCA,2024,"AWS, Machine Learning, Power BI",Linux,1,1,0,Internship,6.53,15000,5,1,1,1,1
JOB_76,Cloud Engineer,Deloitte,Product-Based,Bangalore,Telangana,B.Tech,2025,"Machine Learning, Linux, Power BI",AWS,0,1,0,Full-Time,8.65,15000,3,1,1,3,0
JOB_77,Cybersecurity Analyst,Startup,MNC,Delhi,Tamil Nadu,BCA,2023,"Excel, Python, AWS",SQL,0,1,1,Internship,8.86,8000,5,1,0,2,0
JOB_78,Cloud Engineer,Startup,MNC,Kolkata,Tamil Nadu,B.Sc,2025,"SQL, Power BI, Linux",Python,1,1,1,Internship,5.37,8000,3,1,0,1,0
JOB_79,Web Developer,Accenture,Startup,Mumbai,Uttar Pradesh,BCA,2023,"SQL, Java, Machine Learning",Excel,1,0,0,Internship,4.79,15000,2,0,1,3,0
JOB_80,Cybersecurity Analyst,Startup,Product-Based,Hyderabad,Delhi,B.Sc,2025,"Excel, Power BI, Python",Python,0,1,1,Internship,5.58,15000,5,0,1,2,1
JOB_81,Software Engineer,Capgemini,MNC,Delhi,Telangana,M.Tech,2024,"Excel, Java, AWS",SQL,0,1,0,Full-Time,7.32,15000,2,0,0,3,0
JOB_82,Business Analyst,Capgemini,Product-Based,Delhi,Telangana,B.Com,2024,"Machine Learning, Excel, Python",Java,0,0,1,Full-Time,6.12,15000,2,0,0,2,0
JOB_83,Cloud Engineer,TCS,MNC,Hyderabad,Tamil Nadu,MCA,2024,"AWS, SQL, Python",SQL,0,1,1,Full-Time,6.65,15000,4,0,1,1,1
JOB_84,Web Developer,Infosys,MNC,Kolkata,Telangana,BCA,2023,"Power BI, SQL, Machine Learning",Excel,1,0,1,Internship,3.32,12000,5,0,1,2,1
JOB_85,Cybersecurity Analyst,Capgemini,Product-Based,Mumbai,West Bengal,BCA,2025,"Power BI, Excel, Python",Power BI,0,1,0,Internship,6.55,0,3,1,1,2,1
JOB_86,Cloud Engineer,Cognizant,MNC,Pune,Tamil Nadu,B.Tech,2023,"Java, SQL, Power BI",SQL,0,0,0,Internship,6.63,8000,5,0,1,1,0
JOB_87,Data Scientist,Accenture,Product-Based,Mumbai,Uttar Pradesh,MCA,2023,"Machine Learning, Power BI, Java",Power BI,0,0,1,Internship,10.38,8000,5,0,0,2,0
JOB_88,Cloud Engineer,Startup,Startup,Pune,Karnataka,B.Tech,2024,"Linux, Excel, AWS",Linux,0,0,1,Internship,8.19,0,4,1,1,1,0
JOB_89,Data Analyst,Infosys,Startup,Noida,Delhi,B.Com,2024,"Java, SQL, AWS",Power BI,0,0,0,Internship,7.44,12000,5,0,0,2,1
JOB_90,Web Developer,Infosys,MNC,Noida,West Bengal,M.Tech,2023,"Java, Power BI, AWS",Excel,0,0,1,Full-Time,5.36,15000,4,1,1,1,1
JOB_91,Cloud Engineer,Startup,Startup,Delhi,Maharashtra,M.Tech,2023,"Power BI, Excel, Java",Excel,1,0,1,Full-Time,5.6,10000,2,0,1,1,1
JOB_92,Data Analyst,Accenture,Service-Based,Delhi,Delhi,M.Tech,2024,"Machine Learning, Excel, Java",Java,1,0,1,Internship,6.57,8000,3,0,1,2,1
JOB_93,Business Analyst,Cognizant,Startup,Mumbai,Delhi,M.Tech,2023,"Linux, Python, SQL",Python,0,1,0,Full-Time,6.8,12000,5,0,0,3,0
JOB_94,Cloud Engineer,Cognizant,MNC,Chennai,West Bengal,B.Tech,2024,"Excel, Python, AWS",Power BI,0,1,1,Full-Time,7.81,8000,4,1,0,2,0
JOB_95,AI/ML Engineer,Cognizant,MNC,Kolkata,Delhi,M.Tech,2025,"Java, AWS, Machine Learning",SQL,0,1,0,Full-Time,10.63,12000,3,1,1,1,0
JOB_96,Data Analyst,Capgemini,Startup,Chennai,Karnataka,B.Com,2024,"Excel, Python, Machine Learning",Linux,0,0,0,Internship,5.47,10000,5,0,0,1,0
JOB_97,Web Developer,Cognizant,Product-Based,Noida,Tamil Nadu,B.Tech,2023,"AWS, Excel, SQL",Linux,0,1,0,Internship,5.61,10000,5,0,0,2,1
JOB_98,Business Analyst,Accenture,MNC,Delhi,West Bengal,B.Sc,2025,"Machine Learning, Linux, Power BI",Java,0,0,1,Full-Time,5.14,8000,4,0,0,1,1
JOB_99,Data Scientist,Infosys,MNC,Mumbai,Uttar Pradesh,B.Com,2023,"Python, Machine Learning, Linux",AWS,0,1,0,Full-Time,6.15,8000,5,0,1,3,0
JOB_100,Data Scientist,Deloitte,MNC,Delhi,Uttar Pradesh,M.Tech,2024,"AWS, Linux, SQL",AWS,1,1,0,Full-Time,6.65,10000,2,0,0,1,0
JOB_101,Business Analyst,Wipro,Product-Based,Pune,Delhi,B.Tech,2023,"AWS, Java, Linux",Python,0,1,0,Full-Time,3.16,8000,3,0,0,3,1
JOB_102,Software Engineer,Capgemini,Service-Based,Noida,Tamil Nadu,BCA,2023,"Python, Power BI, SQL",AWS,0,1,0,Internship,6.18,8000,2,1,1,1,1
JOB_103,Business Analyst,Deloitte,MNC,Hyderabad,Karnataka,M.Tech,2024,"Linux, Machine Learning, AWS",Java,0,0,0,Internship,4.57,10000,2,0,0,1,1
JOB_104,Web Developer,Capgemini,Startup,Noida,Telangana,B.Sc,2024,"Excel, Java, SQL",AWS,0,1,0,Internship,5.54,12000,2,1,0,1,0
JOB_105,Data Analyst,Infosys,MNC,Pune,Delhi,B.Tech,2023,"Java, Python, Machine Learning",Java,1,1,0,Internship,7.54,0,3,1,0,3,1
JOB_106,Business Analyst,Wipro,Product-Based,Delhi,West Bengal,B.Sc,2024,"SQL, Linux, Excel",Machine Learning,0,1,1,Internship,4.25,15000,3,0,0,2,0
JOB_107,Data Scientist,Deloitte,Product-Based,Pune,Maharashtra,B.Sc,2023,"Power BI, Java, Excel",Java,0,0,1,Full-Time,8.46,12000,2,0,1,1,1
JOB_108,Data Scientist,Capgemini,MNC,Pune,Tamil Nadu,MCA,2025,"SQL, Linux, Java",Python,1,0,0,Internship,10.53,12000,4,1,1,1,0
JOB_109,Cloud Engineer,Capgemini,MNC,Kolkata,West Bengal,B.Sc,2025,"AWS, Linux, Power BI",Python,0,0,1,Internship,6.14,10000,5,1,0,2,0
JOB_110,Data Analyst,Cognizant,Product-Based,Mumbai,Tamil Nadu,BCA,2023,"Python, Java, AWS",Power BI,1,0,0,Full-Time,3.38,8000,4,0,1,3,1
JOB_111,AI/ML Engineer,Infosys,MNC,Delhi,Uttar Pradesh,BCA,2023,"Excel, Machine Learning, SQL",Machine Learning,1,0,1,Full-Time,7.74,10000,4,0,1,2,0
JOB_112,Data Scientist,Cognizant,Service-Based,Pune,Maharashtra,MCA,2023,"SQL, AWS, Python",Excel,0,1,1,Full-Time,6.97,0,2,0,1,3,1
JOB_113,Cloud Engineer,Deloitte,Product-Based,Bangalore,Maharashtra,B.Com,2023,"Machine Learning, Excel, Power BI",SQL,0,1,0,Internship,9.65,0,2,1,0,3,0
JOB_114,Business Analyst,Infosys,Startup,Bangalore,Uttar Pradesh,B.Com,2024,"Excel, Python, SQL",AWS,0,1,1,Full-Time,7.04,15000,4,0,1,1,1
JOB_115,Data Scientist,Startup,Service-Based,Mumbai,Maharashtra,B.Com,2025,"SQL, Java, AWS",SQL,0,0,1,Internship,9.8,12000,5,1,1,1,0
JOB_116,Cloud Engineer,TCS,Service-Based,Hyderabad,Uttar Pradesh,B.Com,2024,"Power BI, Machine Learning, Linux",Excel,0,0,1,Internship,9.36,0,5,1,0,1,0
JOB_117,AI/ML Engineer,Startup,MNC,Bangalore,Uttar Pradesh,B.Com,2025,"Java, Python, Machine Learning",Machine Learning,0,0,1,Full-Time,10.82,12000,2,0,0,2,1
JOB_118,Cybersecurity Analyst,Wipro,Service-Based,Kolkata,Delhi,BCA,2024,"Linux, Machine Learning, Python",Python,1,1,1,Internship,5.93,12000,3,0,1,3,1
JOB_119,Software Engineer,Infosys,Startup,Mumbai,Uttar Pradesh,MCA,2025,"SQL, Linux, AWS",Python,0,0,0,Internship,7.46,12000,5,0,0,1,0
JOB_120,Web Developer,Capgemini,Product-Based,Hyderabad,Tamil Nadu,B.Tech,2025,"Power BI, Machine Learning, AWS",Power BI,0,1,0,Full-Time,5.7,15000,2,0,0,1,0
JOB_121,Data Scientist,TCS,Startup,Mumbai,Telangana,M.Tech,2024,"Excel, Linux, AWS",Linux,0,0,1,Internship,10.84,12000,4,1,0,1,0
JOB_122,Web Developer,Infosys,Product-Based,Chennai,Delhi,B.Tech,2023,"SQL, AWS, Java",Java,1,0,0,Full-Time,7.48,10000,3,1,1,1,1
JOB_123,Cybersecurity Analyst,Infosys,MNC,Noida,Tamil Nadu,B.Sc,2023,"Linux, Machine Learning, AWS",Machine Learning,0,1,1,Internship,6.59,8000,2,0,1,1,0
JOB_124,Business Analyst,Capgemini,Product-Based,Mumbai,Delhi,B.Tech,2025,"SQL, Java, Excel",Power BI,1,0,0,Internship,3.55,12000,5,1,1,1,1
JOB_125,Cloud Engineer,Infosys,Service-Based,Mumbai,Tamil Nadu,B.Tech,2025,"Power BI, SQL, Java",Java,0,0,1,Internship,6.14,10000,3,1,1,3,1
JOB_126,Web Developer,Deloitte,Service-Based,Kolkata,Karnataka,B.Tech,2025,"Machine Learning, Linux, SQL",AWS,0,0,1,Internship,5.14,15000,4,1,1,2,1
JOB_127,Web Developer,Cognizant,Startup,Delhi,Telangana,M.Tech,2024,"Machine Learning, Linux, Java",Java,0,0,0,Internship,7.09,10000,3,0,0,3,1
JOB_128,Cybersecurity Analyst,Cognizant,Startup,Delhi,Delhi,B.Tech,2024,"AWS, Power BI, Excel",Power BI,1,1,0,Full-Time,9.3,12000,5,1,0,1,0
JOB_129,Data Scientist,Cognizant,MNC,Delhi,Tamil Nadu,B.Sc,2025,"Java, Machine Learning, Power BI",Linux,0,1,0,Internship,6.04,10000,3,0,0,2,1
JOB_130,AI/ML Engineer,Accenture,Startup,Bangalore,Maharashtra,B.Tech,2023,"Python, Java, SQL",Linux,1,1,1,Full-Time,9.06,15000,3,0,1,3,0
JOB_131,AI/ML Engineer,Capgemini,Product-Based,Delhi,Tamil Nadu,MCA,2024,"SQL, AWS, Python",Java,0,0,0,Full-Time,8.5,8000,3,0,1,3,0
JOB_132,Business Analyst,Wipro,Startup,Pune,Telangana,MCA,2025,"SQL, Python, AWS",Python,0,0,0,Internship,4.11,12000,5,0,0,3,1
JOB_133,Web Developer,Deloitte,Startup,Kolkata,Telangana,MCA,2023,"SQL, Linux, Java",Python,1,0,1,Internship,3.6,15000,4,0,1,1,1
JOB_134,Web Developer,Wipro,Startup,Chennai,Uttar Pradesh,B.Tech,2025,"SQL, Excel, Machine Learning",Power BI,0,1,1,Full-Time,4.69,15000,3,0,0,1,1
JOB_135,Web Developer,Accenture,Product-Based,Pune,Telangana,B.Sc,2024,"Linux, Machine Learning, AWS",Excel,0,1,1,Internship,7.71,15000,3,1,0,2,1
JOB_136,Business Analyst,Deloitte,Service-Based,Bangalore,Uttar Pradesh,B.Tech,2023,"Linux, Python, SQL",Excel,1,0,0,Internship,4.62,10000,3,1,0,3,0
JOB_137,Data Analyst,Deloitte,Service-Based,Kolkata,Uttar Pradesh,B.Sc,2024,"Excel, Linux, Machine Learning",SQL,0,1,0,Internship,5.59,12000,3,1,0,2,0
JOB_138,Data Scientist,Deloitte,Startup,Mumbai,Tamil Nadu,MCA,2025,"Java, Power BI, SQL",AWS,1,0,0,Full-Time,10.22,12000,2,1,0,2,0
JOB_139,Cloud Engineer,Wipro,Service-Based,Hyderabad,Uttar Pradesh,B.Tech,2023,"SQL, Linux, Excel",AWS,1,1,1,Full-Time,6.82,8000,5,0,1,2,0
JOB_140,Business Analyst,Startup,MNC,Noida,Telangana,B.Tech,2024,"SQL, Machine Learning, Java",Python,1,0,1,Internship,7.86,0,3,1,0,3,0
JOB_141,Business Analyst,Capgemini,Startup,Kolkata,Maharashtra,B.Sc,2025,"Java, Machine Learning, SQL",Power BI,0,1,1,Full-Time,7.81,10000,5,0,1,3,1
JOB_142,Software Engineer,Accenture,Startup,Hyderabad,West Bengal,B.Com,2023,"SQL, Power BI, Python",Power BI,0,1,0,Full-Time,4.26,10000,2,1,1,3,1
JOB_143,Cybersecurity Analyst,Startup,Startup,Mumbai,Tamil Nadu,B.Tech,2024,"Excel, Machine Learning, Python",SQL,1,1,1,Full-Time,7.49,10000,3,0,0,3,1
JOB_144,Cybersecurity Analyst,Wipro,Product-Based,Kolkata,West Bengal,MCA,2024,"Java, Excel, Power BI",Python,0,0,1,Internship,6.5,0,2,1,1,1,1
JOB_145,Business Analyst,Deloitte,Product-Based,Mumbai,West Bengal,MCA,2025,"SQL, Linux, Excel",Linux,0,0,0,Full-Time,4.42,0,3,0,1,3,0
JOB_146,Data Analyst,TCS,Product-Based,Kolkata,Maharashtra,MCA,2025,"Machine Learning, Linux, SQL",Linux,0,1,1,Internship,3.18,12000,5,0,1,1,0
JOB_147,Software Engineer,Wipro,Product-Based,Mumbai,Delhi,B.Sc,2024,"Python, Java, Power BI",Java,0,1,0,Full-Time,6.05,12000,4,1,1,1,0
JOB_148,Cloud Engineer,TCS,Product-Based,Kolkata,Karnataka,MCA,2024,"Java, Excel, SQL",Machine Learning,0,0,0,Full-Time,7.51,8000,3,1,0,2,1
JOB_149,Cloud Engineer,Wipro,Product-Based,Chennai,Delhi,B.Com,2025,"Python, Java, Linux",Machine Learning,0,0,0,Internship,5.26,8000,3,0,0,1,1
JOB_150,Software Engineer,Capgemini,Service-Based,Bangalore,West Bengal,B.Tech,2024,"Power BI, SQL, Machine Learning",Java,0,0,1,Full-Time,4.39,12000,4,1,1,1,1
JOB_151,Data Scientist,Accenture,Service-Based,Kolkata,Maharashtra,B.Com,2023,"Python, SQL, Excel",Linux,0,0,1,Internship,11.45,8000,4,0,1,1,0
JOB_152,Cybersecurity Analyst,Accenture,Product-Based,Noida,Karnataka,M.Tech,2023,"Excel, Java, Linux",AWS,1,0,0,Internship,6.2,0,3,1,1,3,0
